INDIVIDUAL_ID,GENUS,SPECIES,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
10760,Lissotriton,sp.,Riddagshausen,Germany,52.27219,N,10.589025,E
5246,Lissotriton,graecus,Kalavryta,Greece,38.027286,N,22.045511,E
5247,Lissotriton,graecus,Kalavryta,Greece,38.027286,N,22.045511,E
5249,Lissotriton,graecus,Kalavryta,Greece,38.027286,N,22.045511,E
5250,Lissotriton,graecus,Kalavryta,Greece,38.027286,N,22.045511,E
5279,Lissotriton,lantzi,Maikop,Russia,44.6,N,40.1,E
12406,Lissotriton,boscai,Santander,Spain,43.46,N,3.81,W
12407,Lissotriton,boscai,Santander,Spain,43.46,N,3.81,W
12408,Lissotriton,boscai,Santander,Spain,43.46,N,3.81,W
10463,Lissotriton,vulgaris,Karlovac,Croatia,45.493,N,15.555,E
4273,Lissotriton,graecus,Domanovići,Bosnia i Hercegovina,43.13359833,N,17.80260086,E
7909,Lissotriton,kosswigi,Demirbey2,Turkey,40.86033249,N,30.49097252,E
7911,Lissotriton,kosswigi,Hacılar2,Turkey,41.495,N,32.0886,E
7910,Lissotriton,kosswigi,Hacılar2,Turkey,41.495,N,32.0886,E
7912,Lissotriton,kosswigi,Hacılar2,Turkey,41.495,N,32.0886,E
7939,Lissotriton,kosswigi,Denizli,Turkey,40.89758301,N,29.55547142,E
7940,Lissotriton,kosswigi,Denizli,Turkey,40.89758301,N,29.55547142,E
7941,Lissotriton,kosswigi,Denizli,Turkey,40.89758301,N,29.55547142,E
7942,Lissotriton,kosswigi,Denizli,Turkey,40.89758301,N,29.55547142,E
7944,Lissotriton,kosswigi,Denizli,Turkey,40.89758301,N,29.55547142,E
7950,Lissotriton,kosswigi,Denizli,Turkey,40.89758301,N,29.55547142,E
10570,Lissotriton,vulgaris,Mitrova,Serbia,42.999,N,20.361,E
7878,Lissotriton,kosswigi,Demirbey2,Turkey,40.86033249,N,30.49097252,E
12308,Lissotriton,helveticus,Ambleteuse,France,50.77999878,N,1.610000014,E
6228,Lissotriton,vulgaris,Salicea,Romania,46.6767,N,23.5261,E
10310,Lissotriton,vulgaris,Rudnjača,Montenegro,42.832,N,18.621,E
7883,Lissotriton,kosswigi,Hacılar2,Turkey,41.495,N,32.0886,E
10574,Lissotriton,vulgaris,Debrc,Serbia,44.632,N,19.905,E
7877,Lissotriton,kosswigi,Demirbey2,Turkey,40.86033249,N,30.49097252,E
7876,Lissotriton,kosswigi,Demirbey2,Turkey,40.86033249,N,30.49097252,E
7882,Lissotriton,kosswigi,Hacılar2,Turkey,41.495,N,32.0886,E
10311,Lissotriton,vulgaris,Rudnjača,Montenegro,42.832,N,18.621,E
6274,Lissotriton,vulgaris,Padurea-Raioasa,Romania,44.5447,N,25.8992,E
6275,Lissotriton,vulgaris,Teleajen-Valley,Romania,45.4389,N,25.9383,E
6276,Lissotriton,vulgaris,Teleajen-Valley,Romania,45.4389,N,25.9383,E
6278,Lissotriton,vulgaris,Teleajen-Valley,Romania,45.4389,N,25.9383,E
6279,Lissotriton,vulgaris,Teleajen-Valley,Romania,45.4389,N,25.9383,E
6293,Lissotriton,vulgaris,Blahnita,Romania,44.975,N,23.5028,E
10425,Lissotriton,vulgaris,Nevesinje,Bosnia and Herzegovina,43.32,N,18.089,E
10385,Lissotriton,vulgaris,Čevo,Montenegro,42.545,N,18.916,E
10386,Lissotriton,vulgaris,Čevo,Montenegro,42.545,N,18.916,E
10554,Lissotriton,vulgaris,Rutoši,Serbia,43.527,N,19.693,E
10555,Lissotriton,vulgaris,Zasavica,Serbia,44.968,N,19.51,E
10556,Lissotriton,vulgaris,Zasavica,Serbia,44.968,N,19.51,E
10557,Lissotriton,vulgaris,Markovo-Kale,Serbia,42.582,N,21.888,E
10575,Lissotriton,vulgaris,Debrc,Serbia,44.632,N,19.905,E
10576,Lissotriton,vulgaris,Debrc,Serbia,44.632,N,19.905,E
10671,Lissotriton,vulgaris,Oraovica,Serbia,42.864,N,22.071,E
10672,Lissotriton,vulgaris,Selevenjske-Pustare,Serbia,46.147,N,19.906,E
10673,Lissotriton,vulgaris,Selevenjske-Pustare,Serbia,46.147,N,19.906,E
10674,Lissotriton,vulgaris,Joševa,Serbia,44.582,N,19.404,E
10675,Lissotriton,vulgaris,Joševa,Serbia,44.582,N,19.404,E
10676,Lissotriton,vulgaris,Joševa,Serbia,44.582,N,19.404,E
10679,Lissotriton,vulgaris,Paskovac,Serbia,44.483,N,19.231,E
10680,Lissotriton,vulgaris,Obrenovac,Serbia,44.662,N,20.203,E
6256,Lissotriton,vulgaris,Balta-Vederoasa,Romania,44.1972,N,27.8603,E
6257,Lissotriton,vulgaris,Balta-Vederoasa,Romania,44.1972,N,27.8603,E
6258,Lissotriton,vulgaris,Balta-Vederoasa,Romania,44.1972,N,27.8603,E
6259,Lissotriton,vulgaris,Balta-Vederoasa,Romania,44.1972,N,27.8603,E
10368,Lissotriton,graecus,Bojanje-Brdo,Montenegro,42.563,N,18.822,E
10369,Lissotriton,graecus,Bojanje-Brdo,Montenegro,42.563,N,18.822,E
10376,Lissotriton,vulgaris,Ajdovščina,Slovenia,45.886,N,13.904,E
10379,Lissotriton,vulgaris,Ajdovščina,Slovenia,45.886,N,13.904,E
10372,Lissotriton,vulgaris,Zminicko-Jezero,Montenegro,43.10014831,N,19.24584385,E
10373,Lissotriton,vulgaris,Zminicko-Jezero,Montenegro,43.10014831,N,19.24584385,E
10374,Lissotriton,vulgaris,Zminicko-Jezero,Montenegro,43.10014831,N,19.24584385,E
10380,Lissotriton,vulgaris,Podstrmec,Slovenia,45.804,N,14.574,E
10381,Lissotriton,vulgaris,Podstrmec,Slovenia,45.804,N,14.574,E
10382,Lissotriton,vulgaris,Podstrmec,Slovenia,45.804,N,14.574,E
